Gender,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%
Female,750-67-8428,A,Yangon,Member,Health and beauty,74.69,7,261.415
Female,226-31-3081,C,Naypyitaw,Normal,Electronic accessories,15.28,5,3.82
Female,355-53-5943,A,Yangon,Member,Electronic accessories,68.84,6,20.652
Female,315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,73.56,10,36.78
Female,665-32-9167,A,Yangon,Member,Health and beauty,36.26,2,3.626
Female,228-96-1411,C,Naypyitaw,Member,Food and beverages,98.7,8,39.48
Female,132-32-9879,B,Mandalay,Member,Electronic accessories,93.96,4,18.792
Female,727-46-3608,B,Mandalay,Member,Food and beverages,20.01,9,9.1945
Female,574-22-5561,C,Naypyitaw,Member,Fashion accessories,82.63,10,41.315
Female,162-48-8011,A,Yangon,Member,Food and beverages,44.59,5,11.1475
Female,605-03-2706,A,Yangon,Normal,Health and beauty,15.8,3,2.37
Female,214-30-2776,B,Mandalay,Member,Electronic accessories,34.49,5,8.6225
Female,746-04-1077,B,Mandalay,Member,Food and beverages,84.63,10,42.315
Female,221-25-5073,A,Yangon,Normal,Food and beverages,74.66,4,14.932
Female,156-20-0370,B,Mandalay,Normal,Electronic accessories,25.45,1,1.2725
Female,151-33-7434,B,Mandalay,Normal,Food and beverages,67.77,1,3.3885
Female,139-32-4183,A,Yangon,Member,Sports and travel,97.48,9,43.866
Female,374-38-5555,B,Mandalay,Normal,Fashion accessories,63.71,5,159.275
Female,764-44-8999,B,Mandalay,Normal,Health and beauty,14.76,2,1.476
Female,886-18-2897,A,Yangon,Normal,Food and beverages,56.56,5,14.14
Female,602-16-6955,B,Mandalay,Normal,Sports and travel,76.6,10,38.3
Female,652-49-6720,C,Naypyitaw,Member,Electronic accessories,60.95,1,3.0475
Female,303-96-2227,B,Mandalay,Normal,Home and lifestyle,97.38,10,48.69
Female,849-09-3807,A,Yangon,Member,Fashion accessories,88.34,7,30.919
Male,631-41-3108,A,Yangon,Normal,Home and lifestyle,46.33,7,162.155
Male,123-19-1176,A,Yangon,Member,Health and beauty,58.22,8,23.288
Male,373-73-7910,A,Yangon,Normal,Sports and travel,86.31,7,302.085
Male,699-14-3026,C,Naypyitaw,Normal,Electronic accessories,85.39,7,298.865
Male,529-56-3974,B,Mandalay,Member,Electronic accessories,25.51,4,5.102
Male,252-56-2699,A,Yangon,Normal,Food and beverages,43.19,10,21.595
Male,765-26-6951,A,Yangon,Normal,Sports and travel,72.61,6,21.783
Male,329-62-1586,A,Yangon,Normal,Food and beverages,54.67,3,8.2005
Male,300-71-4605,C,Naypyitaw,Member,Electronic accessories,86.04,5,21.51
Male,371-85-5789,B,Mandalay,Normal,Health and beauty,87.98,3,13.197
Male,273-16-6619,B,Mandalay,Normal,Home and lifestyle,33.2,2,3.32
Male,636-48-8204,A,Yangon,Normal,Electronic accessories,34.56,5,8.64
Male,549-59-1358,A,Yangon,Member,Sports and travel,88.63,3,132.945
Male,649-29-6775,B,Mandalay,Normal,Fashion accessories,33.52,1,1.676
Male,848-62-7243,A,Yangon,Normal,Health and beauty,24.89,9,11.2005
Male,871-79-8483,B,Mandalay,Normal,Fashion accessories,94.13,5,235.325
Male,149-71-6266,B,Mandalay,Member,Sports and travel,78.07,9,351.315
Male,640-49-2076,B,Mandalay,Normal,Sports and travel,83.78,8,33.512
Male,595-11-5460,A,Yangon,Normal,Health and beauty,96.58,2,9.658
Male,129-29-8530,A,Yangon,Member,Sports and travel,62.62,5,15.655
Male,777-82-7220,B,Mandalay,Member,Home and lifestyle,30.12,8,12.048
Male,554-53-8700,C,Naypyitaw,Member,Home and lifestyle,56.11,2,5.611
Male,617-15-4209,C,Naypyitaw,Member,Health and beauty,15.37,2,1.537
Male,370-41-7321,B,Mandalay,Member,Health and beauty,56.69,9,255.105
Male,669-54-1719,B,Mandalay,Member,Electronic accessories,18.93,6,5.679
Male,326-78-5178,C,Naypyitaw,Member,Food and beverages,91.4,7,31.99
Male,778-71-5554,C,Naypyitaw,Member,Fashion accessories,15.43,1,7.715
Male,242-55-6721,B,Mandalay,Normal,Home and lifestyle,16.16,2,1.616
Male,106-35-6779,A,Yangon,Member,Home and lifestyle,44.34,2,4.434
Male,635-40-6220,A,Yangon,Normal,Health and beauty,89.6,8,35.84
Male,120-06-4233,C,Naypyitaw,Normal,Electronic accessories,30.61,6,9.183
Male,803-83-5989,C,Naypyitaw,Normal,Home and lifestyle,55.73,6,16.719
Male,199-75-8169,A,Yangon,Member,Sports and travel,15.81,10,7.905
Male,853-23-2453,B,Mandalay,Member,Health and beauty,75.74,4,15.148
Male,877-22-3308,A,Yangon,Member,Health and beauty,15.87,10,7.935
Male,232-11-3025,A,Yangon,Normal,Sports and travel,78.77,10,39.385
Male,393-65-2792,C,Naypyitaw,Normal,Food and beverages,89.48,10,44.74
Male,796-12-2025,C,Naypyitaw,Normal,Fashion accessories,62.12,10,31.06
Male,287-21-9091,A,Yangon,Normal,Home and lifestyle,74.67,9,336.015
Male,263-10-3913,C,Naypyitaw,Member,Fashion accessories,49.04,9,22.068
Male,480-63-2856,C,Naypyitaw,Normal,Food and beverages,19.25,8,7.7
Male,360-39-5055,C,Naypyitaw,Member,Sports and travel,48.91,5,12.2275
Male,362-58-8315,C,Naypyitaw,Normal,Fashion accessories,76.52,5,19.13
Male,633-44-8566,A,Yangon,Member,Food and beverages,49.38,7,17.283
Male,504-35-8843,A,Yangon,Normal,Sports and travel,42.47,1,2.1235
Male,152-08-9985,B,Mandalay,Member,Health and beauty,64.36,9,28.962
Male,512-91-0811,C,Naypyitaw,Normal,Health and beauty,89.75,1,4.4875
Male,594-34-4444,A,Yangon,Normal,Electronic accessories,97.16,1,4.858
Male,766-85-7061,B,Mandalay,Normal,Health and beauty,87.87,10,43.935
Male,865-92-6136,A,Yangon,Normal,Food and beverages,52.75,3,7.9125
Male,733-01-9107,B,Mandalay,Normal,Home and lifestyle,82.7,6,24.81
Male,163-56-7055,C,Naypyitaw,Member,Fashion accessories,48.71,1,2.4355
Male,189-98-2939,C,Naypyitaw,Normal,Fashion accessories,78.55,9,353.475
Male,212-62-1842,A,Yangon,Normal,Food and beverages,58.26,6,17.478
Male,716-39-1409,B,Mandalay,Normal,Health and beauty,30.35,7,10.6225
Male,704-48-3927,A,Yangon,Member,Electronic accessories,88.67,10,44.335
Male,628-34-3388,C,Naypyitaw,Normal,Fashion accessories,27.38,6,8.214
Male,630-74-5166,A,Yangon,Normal,Sports and travel,62.13,6,18.639
Male,861-77-0145,C,Naypyitaw,Member,Electronic accessories,81.97,10,40.985
Male,645-44-1170,A,Yangon,Member,Home and lifestyle,58.07,9,261.315
Male,291-32-1427,B,Mandalay,Member,Fashion accessories,21.94,5,5.485
Male,659-65-8956,B,Mandalay,Member,Fashion accessories,51.36,1,2.568
Male,378-24-2715,B,Mandalay,Normal,Home and lifestyle,53.44,2,5.344
Male,659-36-1684,C,Naypyitaw,Member,Sports and travel,57.12,7,19.992
Male,219-22-9386,B,Mandalay,Member,Sports and travel,99.96,9,44.982
Male,336-78-2147,C,Naypyitaw,Member,Home and lifestyle,63.91,8,25.564
